Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,MA7,MA21,Price_Range
RELIANCE,2026-01-09,1465.0,1479.9,1465.0,1475.3,8335311,0.0032,1529.1,1546.52,14.9
RELIANCE,2026-01-12,1475.3,1485.3,1451.0,1483.2,8883745,0.0054,1515.9,1543.58,34.3
RELIANCE,2026-01-13,1485.0,1485.8,1444.7,1452.8,13499760,-0.0205,1495.97,1538.64,41.1
RELIANCE,2026-01-14,1444.0,1467.0,1440.2,1458.8,8321764,0.0041,1478.93,1534.0,26.8
RELIANCE,2026-01-16,1458.8,1480.0,1455.1,1457.9,17167161,-0.0006,1471.83,1529.98,24.9
RELIANCE,2026-01-19,1450.6,1450.6,1403.3,1413.6,20392765,-0.0304,1458.89,1523.75,47.3
RELIANCE,2026-01-20,1410.7,1416.0,1390.0,1394.0,13189498,-0.0139,1447.94,1516.59,26.0
RELIANCE,2026-01-21,1389.5,1412.9,1373.0,1404.6,17352720,0.0076,1437.84,1508.95,39.9
RELIANCE,2026-01-22,1410.1,1419.5,1395.0,1402.5,15721693,-0.0015,1426.31,1500.71,24.5
RELIANCE,2026-01-23,1401.8,1407.0,1381.0,1386.1,9837802,-0.0117,1416.79,1491.92,26.0
RELIANCE,2026-01-27,1380.0,1391.6,1368.0,1380.5,26302396,-0.004,1405.6,1483.46,23.6
RELIANCE,2026-01-28,1385.0,1409.9,1384.9,1396.7,11121657,0.0117,1396.86,1475.72,25.0
RELIANCE,2026-01-29,1402.9,1402.9,1384.0,1391.0,20846683,-0.0041,1393.63,1468.36,18.9
RELIANCE,2026-01-30,1382.6,1398.0,1378.5,1395.4,11239835,0.0032,1393.83,1461.49,19.5
RELIANCE,2026-02-02,1340.0,1392.9,1335.5,1390.4,15711165,-0.0036,1391.8,1452.91,57.4
RELIANCE,2026-02-03,1473.9,1489.5,1430.2,1437.1,25456171,0.0336,1396.74,1446.32,59.3
RELIANCE,2026-02-04,1444.0,1464.0,1440.3,1456.8,8333387,0.0137,1406.84,1439.87,23.7
RELIANCE,2026-02-05,1457.0,1461.5,1439.5,1443.4,11763658,-0.0092,1415.83,1433.45,22.0
RELIANCE,2026-02-06,1441.5,1452.8,1433.5,1450.8,8277304,0.0051,1423.56,1430.75,19.3
RELIANCE,2026-02-09,1458.0,1465.9,1453.0,1461.6,5775864,0.0074,1433.64,1428.72,12.9
RELIANCE,2026-02-10,1471.0,1471.0,1452.2,1458.5,10259630,-0.0021,1442.66,1428.14,18.8
RELIANCE,2026-02-11,1459.6,1470.0,1453.6,1468.7,7106877,0.007,1453.84,1427.83,16.4
RELIANCE,2026-02-12,1470.0,1473.0,1445.5,1448.9,11135399,-0.0135,1455.53,1426.2,27.5
RELIANCE,2026-02-13,1445.5,1450.7,1416.3,1419.6,10755693,-0.0202,1450.21,1424.61,34.4
RELIANCE,2026-02-16,1420.1,1439.6,1409.3,1437.1,5896514,0.0123,1449.31,1423.58,30.3
RELIANCE,2026-02-17,1431.1,1431.8,1418.6,1423.0,10731630,-0.0098,1445.34,1421.92,13.2
RELIANCE,2026-02-18,1427.0,1442.1,1419.2,1441.3,5521096,0.0129,1442.44,1423.24,22.9
RELIANCE,2026-02-19,1443.0,1443.0,1400.0,1409.5,11884664,-0.0221,1435.44,1423.98,43.0
RELIANCE,2026-02-20,1409.5,1427.4,1406.1,1419.4,8177670,0.007,1428.4,1424.68,21.3
RELIANCE,2026-02-23,1425.0,1434.9,1418.3,1428.0,7758856,0.0061,1425.41,1425.9,16.6
RELIANCE,2026-02-24,1425.3,1433.3,1415.0,1428.8,12529409,0.0006,1426.73,1427.93,18.3
RELIANCE,2026-02-25,1435.0,1440.5,1393.5,1398.5,10728792,-0.0212,1421.21,1428.79,47.0
RELIANCE,2026-02-26,1398.5,1412.9,1391.9,1406.8,16683858,0.0059,1418.9,1429.27,21.0
RELIANCE,2026-02-27,1398.0,1410.4,1388.1,1393.9,12031440,-0.0092,1412.13,1429.4,22.3
RELIANCE,2026-03-02,1375.5,1378.6,1341.5,1358.0,23728722,-0.0258,1404.77,1427.62,37.1
RELIANCE,2026-03-04,1330.0,1352.8,1307.0,1345.0,32495007,-0.0096,1394.14,1425.46,45.8
RELIANCE,2026-03-05,1353.1,1399.0,1353.1,1389.4,25957532,0.033,1388.63,1423.19,45.9
RELIANCE,2026-03-06,1396.5,1424.3,1390.3,1404.8,19311971,0.0111,1385.2,1420.71,34.0
RELIANCE,2026-03-09,1375.0,1429.4,1370.0,1424.0,24870822,0.0137,1388.84,1419.79,59.4
RELIANCE,2026-03-10,1430.6,1431.5,1400.6,1408.8,18071259,-0.0107,1389.13,1417.79,30.9
RELIANCE,2026-03-11,1424.9,1434.0,1383.6,1390.2,21848087,-0.0132,1388.6,1414.39,50.4
RELIANCE,2026-03-12,1390.0,1410.9,1381.1,1392.2,20939959,0.0014,1393.49,1411.23,29.8
RELIANCE,2026-03-13,1385.2,1400.8,1378.4,1380.7,17265090,-0.0083,1398.59,1407.04,22.4
RELIANCE,2026-03-16,1380.0,1397.3,1363.5,1395.1,22837802,0.0104,1399.4,1404.48,33.8
RELIANCE,2026-03-17,1399.0,1405.9,1388.2,1397.6,19007744,0.0018,1398.37,1403.43,17.7
RELIANCE,2026-03-18,1397.2,1412.9,1397.2,1408.1,9559327,0.0075,1396.1,1402.05,15.7
RELIANCE,2026-03-19,1388.0,1415.7,1376.1,1384.8,16498373,-0.0165,1392.67,1400.23,39.6
RELIANCE,2026-03-20,1398.0,1430.0,1396.1,1414.4,22994918,0.0214,1396.13,1398.95,33.9
RELIANCE,2026-03-23,1400.0,1415.6,1391.0,1407.8,18979554,-0.0047,1398.36,1398.87,24.6
RELIANCE,2026-03-24,1420.0,1422.4,1406.6,1411.8,18620893,0.0028,1402.8,1398.51,15.8
RELIANCE,2026-03-25,1420.0,1430.5,1408.4,1413.1,19041331,0.0009,1405.37,1397.8,22.1
